source_league_id,dest_league_id,source_league,dest_league,source_country_id,dest_country_id,source_tier,dest_tier,n_transfers,n_loans,fee_sum,fee_median,domestic_share
211F,511,U21 Divisie 1 Herbst,Derde Divisie B,122.0,122.0,Youth,4,6,0,0.0,,1.0
211F,A4N,U21 Divisie 1 Herbst,1. Landesliga Niederösterreich,122.0,127.0,Youth,4,1,0,0.0,,0.0
211F,ALB1,U21 Divisie 1 Herbst,Kategoria Superiore,122.0,3.0,Youth,1,1,1,0.0,,0.0
211F,BE2,U21 Divisie 1 Herbst,Challenger Pro League,122.0,19.0,Youth,2,1,0,2100000.0,2100000.0,0.0
211F,BE21,U21 Divisie 1 Herbst,U21 Pro League,122.0,19.0,Youth,Youth,1,1,0.0,,0.0
211F,BEL3,U21 Divisie 1 Herbst,1ste Nationale,122.0,19.0,Youth,3,1,0,0.0,,0.0
211F,C1,U21 Divisie 1 Herbst,Super League,122.0,148.0,Youth,1,2,1,0.0,,0.0
211F,C2,U21 Divisie 1 Herbst,Challenge League,122.0,148.0,Youth,2,1,0,1000000.0,1000000.0,0.0
211F,CAREER_BREAK,U21 Divisie 1 Herbst,CAREER_BREAK,122.0,,Youth,,1,0,0.0,,0.0
211F,CZ3C,U21 Divisie 1 Herbst,Ceska fotbalova liga,122.0,172.0,Youth,3,1,0,0.0,,0.0
211F,DK2,U21 Divisie 1 Herbst,1.Division,122.0,39.0,Youth,2,1,1,0.0,,0.0
211F,FI1,U21 Divisie 1 Herbst,Veikkausliiga,122.0,49.0,Youth,1,1,1,0.0,,0.0
211F,GB21,U21 Divisie 1 Herbst,Premier League 2,122.0,189.0,Youth,Reserve,1,0,0.0,,0.0
211F,IJ1,U21 Divisie 1 Herbst,Primavera 1,122.0,75.0,Youth,Youth,4,1,470000.0,235000.0,0.0
211F,IRQ1,U21 Divisie 1 Herbst,Iraq Stars League,122.0,70.0,Youth,1,1,0,0.0,,0.0
211F,IS2,U21 Divisie 1 Herbst,Lengjudeild,122.0,73.0,Youth,2,1,0,0.0,,0.0
211F,IT2,U21 Divisie 1 Herbst,Serie B,122.0,75.0,Youth,2,1,0,0.0,,0.0
211F,L2,U21 Divisie 1 Herbst,2. Bundesliga,122.0,40.0,Youth,2,1,0,0.0,,0.0
211F,LUX1,U21 Divisie 1 Herbst,BGL Ligue,122.0,99.0,Youth,1,1,0,0.0,,0.0
211F,NL1,U21 Divisie 1 Herbst,Eredivisie,122.0,122.0,Youth,1,18,1,0.0,,1.0
211F,NL2,U21 Divisie 1 Herbst,Keuken Kampioen Divisie,122.0,122.0,Youth,2,61,20,200000.0,200000.0,1.0
211F,NO1,U21 Divisie 1 Herbst,Eliteserien,122.0,125.0,Youth,1,2,1,0.0,,0.0
211F,NO2,U21 Divisie 1 Herbst,OBOS-ligaen,122.0,125.0,Youth,2,1,0,0.0,,0.0
211F,NO31,U21 Divisie 1 Herbst,PostNord-ligaen Avd. 1,122.0,125.0,Youth,3,1,0,0.0,,0.0
211F,NTD,U21 Divisie 1 Herbst,Tweede Divisie,122.0,122.0,Youth,3,22,0,0.0,,1.0
211F,OLRP,U21 Divisie 1 Herbst,Oberliga Rheinland-Pfalz/Saar,122.0,40.0,Youth,5,1,0,0.0,,0.0
