competition_id,league_name,country_id,tier,source_url,canonical_competition_id,prior_league_names
C3IF,Championnat National 3 - Groupe H,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3IF,,

C3NA,Championnat National 3 - Groupe B,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3NA,,

C3NO,Championnat National 3 - Groupe F,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3NO,,

C3OC,National 3 - Occitanie,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3OC,,

C3PL,Championnat National 3 - Groupe D,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3PL,,

C3VL,Championnat National 3 - Groupe C,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3VL,,

CA1F,Canadian Premier League Fall Season,80.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CA1F,,

CB20,CBF Brasileiro U20,26.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CB20,,

CDLP,Copa de la Liga Profesional de Fútbol (- 23/24),9.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CDLP,ARG1,

CDN1,Canadian Premier League,80.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CDN1,,

CH17,Swiss U17 Elite League,148.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CH17,,

CH18,Swiss U18 Elite League (bis 22/23),148.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CH18,,

CH2C,Primera B Clausura (-2016),33.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CH2C,CHL2,

CH3P,League Two Promotion Stage,34.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CH3P,,

CH3R,League Two Relegation Stage,34.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CH3R,,

CHC1,1. Liga Classic Gruppe 1,148.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CHC1,,

CHC2,1. Liga Classic Gruppe 2,148.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CHC2,,

CHC3,1. Liga Classic Gruppe 3,148.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CHC3,,

CHI3,Segunda División Profesional,33.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CHI3,,

CHIÜ,Torneo Transición (-2017),33.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CHIÜ,CLPD,

CHL1,Torneo Clausura (-2017),33.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CHL1,CLPD,

CHL2,Primera B Apertura (-2015),33.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CHL2,CHL2,Primera B Apertura (-2015); Primera B Clausura (-2016)

CHL3,China League Two A,34.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CHL3,,

CHLA,Torneo Apertura (-2016),33.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CHLA,CLPD,

CHPR,Promotion League,148.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CHPR,,1. Liga Gruppe 1 (bis 11/12); 1. Liga Gruppe 2 (bis 11/12); 1. Liga Gruppe 3 (bis 11/12); 1. Liga Gruppe 4 (bis 99/00)

CIR1,2. Liga interregional - Gruppe 1,148.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CIR1,,

CIR2,2. Liga interregional - Gruppe 2,148.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CIR2,,

CIR3,2. Liga interregional - Gruppe 3,148.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CIR3,,

CIR4,2. Liga interregional - Gruppe 4,148.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CIR4,,

CIR5,2. Liga interregional - Gruppe 5,148.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CIR5,,

CIR6,2. Liga interregional - Gruppe 6 (bis 21/22),148.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CIR6,,

CL2B,Liga de Ascenso,33.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CL2B,,

CL3C,China League Two C,34.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CL3C,,

CL3S,China League Two B,34.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CL3S,,

CLO,China League One,34.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CLO,,

CLPD,Liga de Primera,33.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CLPD,,Torneo Apertura (-2016); Torneo Clausura (-2017); Torneo Transición (-2017)

CLPF,Copa LPF Proyección Clausura,9.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CLPF,,

CLPI,Copa LPF Proyección Apertura,9.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CLPI,,

CN2A,Championnat National 2 - Groupe A,50.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CN2A,,

CN2B,Championnat National 2 - Groupe B,50.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CN2B,,

CN2C,Championnat National 2 - Groupe C,50.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CN2C,,

CN2D,Championnat National 2 - Groupe D,50.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CN2D,,

CN44,Chinese U21 League (Final Stage),34.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CN44,,

CNAT,National League,189.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CNAT,,

CO22,Torneo DIMAYOR II,83.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CO22,,

CO2P,Fase Final Torneo DIMAYOR I,83.0,PlayoffRelegation,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CO2P,,

CO2T,Torneo DIMAYOR I,83.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CO2T,,

COL1,Liga Dimayor Finalización,83.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/COL1,,

