"group_key";"competition_id";"league_name";"league_name_norm";"historical_flag";"country_id";"tier";"source_url"; "canonical_competition_id"
"133.0|1";"TDeC";"Liga 1 Clausura";"liga 1 clausura";"True";"133";"1";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/TDeC";
"133.0|1";"PEDP";"Liga 1 Liguilla A";"liga 1 liguilla a";"False";"133";"1";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PEDP";"TDeA"
"133.0|1";"PEDI";"Liga 1 Liguilla B";"liga 1 liguilla b";"False";"133";"1";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PEDI";"TDeA"


"134.0|1";"PFL1";"Philippines Football League";"philippines football league";"False";"134";"1";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PFL1"
"134.0|1";"PHI1";"United Football League (-2016)";"united football league";"True";"134";"1";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PHI1";"PFL1"

"135.0|3";"PL3W";"2 Liga - Ost";"2 liga ost";"False";"135";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PL3W"
"135.0|3";"PL3Z";"2 Liga - West";"2 liga west";"False";"135";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PL3Z"
"135.0|3";"PL2L";"Betclic 2 Liga";"betclic 2 liga";"False";"135";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PL2L"

"135.0|4";"PL31";"Betclic 3 Liga - Gruppe I";"betclic 3 liga gruppe i";"False";"135";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PL31"
"135.0|4";"PL32";"Betclic 3 Liga - Gruppe II";"betclic 3 liga gruppe ii";"False";"135";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PL32"
"135.0|4";"PL33";"Betclic 3 Liga - Gruppe III";"betclic 3 liga gruppe iii";"False";"135";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PL33"
"135.0|4";"PL34";"Betclic 3 Liga - Gruppe IV";"betclic 3 liga gruppe iv";"False";"135";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PL34"

"135.0|Youth";"PLZJ";"Zentrale Jugendliga";"zentrale jugendliga";"False";"135";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PLZJ"
"135.0|Youth";"PLJW";"Zentrale Jugendliga Ost (bis 17/18)";"zentrale jugendliga ost";"True";"135";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PLJW";"PLZJ"
"135.0|Youth";"PLJZ";"Zentrale Jugendliga West (bis 17/18)";"zentrale jugendliga west";"True";"135";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PLJZ";"PLZJ"

"136.0|4";"CPSA";"Campeonato de Portugal - Série A";"campeonato de portugal s rie a";"False";"136";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CPSA"
"136.0|4";"CPSB";"Campeonato de Portugal - Série B";"campeonato de portugal s rie b";"False";"136";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CPSB"
"136.0|4";"CPSC";"Campeonato de Portugal - Série C";"campeonato de portugal s rie c";"False";"136";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CPSC"
"136.0|4";"CPSD";"Campeonato de Portugal - Série D";"campeonato de portugal s rie d";"False";"136";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/CPSD"

"136.0|PlayoffRelegation";"3PTP";"Liga 3 - Finale";"liga 3 finale";"False";"136";"PlayoffRelegation";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/3PTP"
"136.0|PlayoffRelegation";"POLL";"Play-Off Liga Portugal 2";"play off liga portugal 2";"False";"136";"PlayoffRelegation";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/POLL"

"136.0|Youth";"PT23";"Liga Revelação U23";"liga revela o u23";"False";"136";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PT23"
"136.0|Youth";"P232";"Liga Revelação - Zweite Runde";"liga revela o zweite runde";"False";"136";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/P232"

"140.0|2";"RO2";"Liga 2";"liga 2";"False";"140";"2";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/RO2"
"140.0|2";"RO2B";"Liga II - Seria II";"liga ii seria ii";"False";"140";"2";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/RO2B"

"141.0|3";"R3D1";"2. Division A (Phase 1)";"2 division a";"False";"141";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/R3D1"
"141.0|3";"R3D2";"2. Division A (Phase 2)";"2 division a";"False";"141";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/R3D2"
"141.0|3";"RPLU";"2. Division B Gruppe 4 (-2023)";"2 division b gruppe 4";"True";"141";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/RPLU"
"141.0|3";"RPLO";"Russian PFL Ost (-2019)";"russian pfl ost";"True";"141";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/RPLO"
"141.0|3";"RPLS";"Zweite Liga Division B Gruppe 1 (-2023)";"zweite liga division b gruppe 1";"True";"141";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/RPLS"
