league_id,league_name,country_id,tier,prior_league_names
BRCE,Campeonato Cearense,26,StateChampionship,
BRNE,Copa do Nordeste,26,Cup,
BU2,Vtora Liga,28,2,
CL2B,Liga de Ascenso,33,2,
CLO,China League One,34,2,
GBRN,Premier Reserve League North,189,Reserve,
GBRS,Premier Reserve League South,189,Reserve,
GR20,Super League U19,56,Youth,
KO1,Superliga e Kosovës,244,1,
LET2,Nakotnes Liga,92,2,
M20A,Liga MX U20 (09/10),110,Youth,Liga MX U20 (09/10)
MAR1,Botola Pro Inwi,107,1,
MO1N,Divizia Nationala (-2017),112,1,Divizia Nationala (-2017)
NIR1,Premiership,192,1,
OLMR,Mittelrheinliga,40,5,
OLNI,Oberliga Niederrhein,40,5,
PN1A,Liga Panameña de Fútbol Apertura,130,1,
RO2,Liga 2,140,2,
RO2B,Liga II - Seria II,140,2,
RPLO,Russian PFL Ost (-2019),141,3,
RPLS,Zweite Liga Division B Gruppe 1 (-2023),141,3,
RPLU,2. Division B Gruppe 4 (-2023),141,3,
RPLW,Zweite Liga Division B Gruppe 2 (-2023),141,3,
RPLZ,Zweite Liga Division B Gruppe 3 (-2023),141,3,
SE3N,Ettan Norra,147,3,
VLW1,Westfalenliga 1,40,6,
VLW2,Westfalenliga 2,40,6,
WER2,Pershaya Liga,18,2,
510,Derde Divisie A,122,4,
511,Derde Divisie B,122,4,
BRGO,Campeonato Goiano,26,StateChampionship,
BRPE,Campeonato Pernambucano,26,StateChampionship,
CHL2,Primera B Clausura (-2016),33,2,Primera B Apertura (-2015); Primera B Clausura (-2016)
CN2A,Championnat National 2 - Groupe A,50,4,
CN2B,Championnat National 2 - Groupe B,50,4,
CN2C,Championnat National 2 - Groupe C,50,4,
CN2D,Championnat National 2 - Groupe D,50,4,
ECSE,Serie A Segunda Etapa (bis 2018),44,1,
FI3A,Kakkonen - Gruppe A,49,4,
GBR,Premier Reserve League,189,Reserve,
J18E,Prinz Takamado U18 Premier League Ost,77,Youth,
JGD2,ÖFB Jugendliga U18,127,Youth,
JGD3,ÖFB Jugendliga U16,127,Youth,
LLSA,Schröder-Liga Saar,40,6,
LNR1,Landesliga Niederrhein - Gruppe 1,40,6,
LUX2,Ehrenpromotion,99,2,
M20C,Liga MX U20 Clausura (- 22/23),110,Youth,
MAZ1,Prva Makedonska Fudbalska Liga,100,1,
NLS6,National League South,189,6,
OBLN,Oberliga Niedersachsen,40,5,
PN1C,Liga Panameña de Fútbol Clausura,130,1,
QSL,Qatar Stars League,137,1,
SE3S,Ettan Södra,147,3,
TR3A,2.Lig Beyaz,174,3,
